target_name,row_count,proposed_accession,uniprot_name,length_aa,organism,reviewed,confidence,confidence_reasoning,source_doi_checked,notes
"Clostridium botulinum neurotoxin (BoNT) heavy chain-peptide domain",5,P0DPI0,"Botulinum neurotoxin type A",1296,"Clostridium botulinum",yes,medium,"P0DPI0 (BoNT/A) is the most common type used in aptamer SELEX for biosensor development. PMID:18401506 abstract does not specify the serotype. BoNT serotypes A-G all have reviewed entries; type A is most prevalent in research. Strain mismatch possible if paper used type B or E.",no,"Strain uncertainty: verify PMID:18401506 full text for which BoNT serotype was used (A, B, or E are most common). Policy: heavy chain = HC domain = C-terminal ~430aa of the 1296aa toxin. Using full protein is conservative but may mislead ESM-2 attention."
"C-terminal region Recombinant human connective tissue growth factor (rhCTGF)",5,P29279,"CCN family member 2 (CTGF/CCN2)",349,"Homo sapiens",yes,medium_policy,"P29279 is the reviewed human CTGF/CCN2 entry. 'C-terminal region' indicates fragment SELEX. Using the full 349aa protein is a policy decision. The C-terminal domain is approx aa 247-349 (the CT module). If policy allows full-length for fragment-specific aptamers, confidence becomes high.",yes,"POLICY DECISION — same as BACE1 CT and N-terminal CTGF. Also note: PMID:25603056 is shared with 'N-terminal region rhCTGF' (1 row) — that row should also get P29279 under the same policy."
"Cytotoxin CNY",5,NOT_A_PROTEIN,"Cylindrospermopsin (cyanotoxin small molecule)",N/A,"Cyanobacteria (Cylindrospermopsis raciborskii etc.)",N/A,reclassify,"PMID:25122072 abstract: 'In vitro selection of aptamers... cylindrospermopsin (CYN) contamination of freshwater.' CYN is a cyanotoxin small molecule (MW ~415 Da), not a protein. These 5 rows should be reclassified from target_type='protein' to 'small_molecule'.",yes,"ACTION REQUIRED: reclassify target_type to 'small_molecule'. This was missed in the original reclassification pass. No protein sequence exists or should be assigned."
"Clostridium botulinum neurotoxin BoNT-toxoid aldehyde-inactivated toxin",5,P0DPI0,"Botulinum neurotoxin type A",1296,"Clostridium botulinum",yes,low,"Aldehyde-inactivated toxoid is a chemically modified form of the native toxin — same amino acid sequence, different conformation/activity. PMID:7542922 maps to an HIV-1 RT paper — this is a scraping error. The accession is a best-guess (BoNT/A P0DPI0) based on the other BoNT entries in the dataset. Blank is safer than a guessed sequence for a chemically modified target.",no,"PMID:7542922 is an incorrect scraper PMID (HIV-1 RT paper). Other PMIDs (18401506) are shared with the heavy chain rows. Toxoid: the aptamer selected against inactivated toxin may not bind the native structure. Consider keeping blank."
"Enterotoxigenic Escherichia coli (E. coli) (ETEC) K88 fimbriae protein",4,P14190,"K88 fimbrial protein AC (FaeG isoform AC)",283,"Escherichia coli",yes,medium,"PMID:21627466: 'Aptamer selection for the detection of Escherichia coli K88.' Three isoforms of the major fimbrial subunit FaeG exist in reviewed UniProt: K88ab (P02970, 285aa), K88ac (P14190, 283aa), K88ad (P14191, 285aa). FaeG-AC is the most common in ETEC research. However, whole-cell SELEX means the actual binding partner on the cell surface may be one of these three variants, and cannot be confirmed without the paper specifying which K88 variant strain was used.",yes,"Choose P14190 (K88ac/FaeG-AC) as first-pass candidate; verify with PMID:21627466 full text. If whole-cell SELEX with no protein-specific confirmation, consider blanking."
"Recombinant HA protein from swine IAV H3 cluster IV",4,UNRESOLVED,"Influenza A H3N2 hemagglutinin (cluster IV strain needed)",~566,"Influenza A virus H3N2",yes,unresolved,"No reviewed UniProt entry for H3 cluster IV swine HA specifically. Cluster IV is a swine-lineage H3 designation. The most similar available reviewed entries are human H3N2 HAs (e.g., strain Aichi 1968). Using a human H3 HA would introduce significant sequence divergence from the swine cluster IV target. PMID:23077124 full text needed to identify the HA sequence used.",no,"Requires PMID:23077124 full text or the deposited protein sequence to identify which HA construct was used. High risk of wrong-strain contamination."
"Plasmid R1 transfer operon, gene M mutant (TraMM13)",4,P10026,"Relaxosome protein TraM (wild-type)",127,"Escherichia coli K12",yes,low,"P10026 is wild-type TraM from plasmid R1. The target is TraMM13 — a specific mutant (M13 substitution) form. The mutant's amino acid sequence differs from wild-type; using WT sequence for a mutant-specific aptamer training example is incorrect. PMID:18082262 full text needed to determine the M13 mutation(s).",yes,"LOW confidence specifically because this is a MUTANT form. The WT sequence (P10026) would be a fallback only if the mutation is minor and the aptamer binding surface overlaps with WT. Prefer blank until mutation is characterized."
"Plasmid R1 transfer operon, gene M (TraM)",4,P10026,"Relaxosome protein TraM",127,"Escherichia coli K12",yes,high,"P10026 is the reviewed UniProt entry for TraM from plasmid R1 in E. coli K12. The protein name, organism, and plasmid of origin all match. 127aa is consistent with published TraM size.",yes,"HIGH confidence — confirmed reviewed Swiss-Prot entry with exact name and organism match. Apply with confidence."
"VP1 structural polypeptide of O-serotype FMD",3,P03305,"Genome polyprotein (VP1 within aa 769-1041)",2332,"Foot-and-mouth disease virus serotype O",yes,medium,"P03305 is the reviewed FMDV serotype O genome polyprotein. VP1 is encoded within it (approx aa 769-1041). PMID:19137093 abstract: 'aptamers to a foot-and-mouth disease peptide for competitive FRET-based detection' — target is a peptide from VP1, not the full protein. Policy decision: use full polyprotein or just VP1 domain? Full VP1 sequence cannot be extracted as a standalone reviewed entry.",yes,"POLICY DECISION: VP1 is within a 2332aa polyprotein. If using, policy must be set for how to handle polyprotein-embedded targets. The aptamer targets a 'peptide' per abstract — likely the highly immunogenic G-H loop (aa 134-160 of VP1)."
"phospho-Ser845 cGluR1",3,P19490,"Glutamate receptor 1 (GluA1/GluR-A)",907,"Rattus norvegicus",yes,medium_policy,"P19490 is GluA1 (AMPA receptor subunit 1) from rat — correct species, correct subunit (Ser845 phosphorylation site is in GluA1). Note: P19491 (GluA2) was an earlier incorrect guess. Using full-length for a phospho-state specific aptamer is a policy decision.",yes,"POLICY DECISION — same category as BACE1 CT. GluA1 Ser845 is specifically in the C-terminal domain. If using full-length P19490, ESM-2 will embed the entire receptor; the phospho-state cannot be encoded."
"Rhesus (Rh) D antigen",3,Q02161,"Blood group Rh(D) polypeptide",417,"Homo sapiens",yes,high,"Q02161 is the reviewed UniProt entry for the RhD polypeptide (RHD gene product). Exact organism and protein match. 417aa is consistent with the transmembrane Rh protein. Note: P18577 (RhCE) is a different (but related) protein — Q02161 is specifically RhD.",yes,"HIGH confidence — reviewed, correct species, correct Rh subtype (D not CE)."
"Phosphorylated BACE1 CT",3,P56817,"Beta-secretase 1 (BACE1)",501,"Homo sapiens",yes,medium_policy,"Same protein as 'Nonphosphorylated BACE1 CT' above. Both rows share PMID:16888322 and differ only in phosphorylation state. P56817 is the full-length BACE1. Policy decision applies equally.",yes,"POLICY DECISION — see Nonphosphorylated BACE1 CT note."
"Abrin toxin",3,P11140,"Abrin-a",528,"Abrus precatorius",yes,high,"Same PMID:17055241 as the 8-row entry above. P11140 (abrin-a A chain) applies identically. These 3 rows are a shorter name variant for the same target.",yes,"Same reasoning as 'Abrin toxin, Abrus precatorius' — HIGH confidence for abrin-a."
"6xHIS-LiPABP protein (rLiPABP)",3,UNRESOLVED,"Leishmania infantum poly-A binding protein",~700,"Leishmania infantum",no,unresolved,"No reviewed UniProt entry for Leishmania infantum PABP. TrEMBL search found PABP entries for related Leishmania species (donovani, martiniquensis) but not infantum specifically. The His-tag is a recombinant construct decoration and does not affect the PABP sequence. Requires TrEMBL-specific search for L. infantum PABP.",yes,"Search UniProt TrEMBL specifically for 'poly-A binding' AND organism_id:5671 (Leishmania infantum). A TrEMBL entry very likely exists but was not returned by name search."
"HepCnsp3protease",3,P27958,"Genome polyprotein (NS3 protease within aa 1027-1657)",3011,"Hepatitis C virus genotype 1a (isolate H77)",yes,medium,"Garbled name for 'HCV NS3 protease.' Same protein as 'NS3 protein of hepatitis C virus' (11 rows). PMID:10848986 specifies HCV NS3. P27958 (genotype 1a H77) is the most common research strain. Strain match for PMID:10848986 needs verification.",no,"See notes for 'NS3 protein of hepatitis C virus.' Same accession logic applies. Garbled name means override table entry would need this specific garbled string."
"Hemagglutinin (HA) glycoprotein; Influenza virus",2,UNRESOLVED,"Influenza A HA (strain unspecified)",~560,"Influenza A virus (unknown strain)",yes,unresolved,"PMID:15358767 specifies 'Influenza virus' without strain. Reviewed HA entries exist for multiple strains (H1N1 PR8, H3N2 Aichi, H5N1, etc.) but cannot safely assign without knowing the strain used.",no,"Requires PMID:15358767 full text to determine which HA construct was used in SELEX."
"FL11 (Pyrococcus sp. OT3)",2,O59188,"HTH-type transcriptional regulator FL11",151,"Pyrococcus horikoshii (strain OT-3)",yes,high,"O59188 is the reviewed UniProt entry for FL11 from Pyrococcus horikoshii OT-3. Exact protein name and strain match ('Pyrococcus sp. OT3' = P. horikoshii OT3). Confirmed by PMID:19468044 abstract which explicitly names FL11 alongside TvFL3 and Ss-LrpB as archaeal FFRPs.",yes,"HIGH confidence — reviewed Swiss-Prot entry with exact name and strain match."
"Stoffel fragment",2,P19821,"DNA polymerase I thermostable (Taq polymerase)",832,"Thermus aquaticus",yes,medium_policy,"P19821 is Taq DNA polymerase and is already in the project's override table under 'DNA polymerase (Taq pol), Thermus acquaticus.' The Stoffel fragment is a truncated form of Taq pol (N-terminal deletion, lacking the 5'-3' exonuclease domain, approx aa 290-832). Using full-length Taq for a truncated-form aptamer is a policy decision — lower-risk than other fragment cases since the truncation only removes the exonuclease domain and the polymerase domain (the likely binding target) is retained in both.",yes,"POLICY DECISION — moderate risk. The Stoffel fragment (aa ~290-832) lacks the exonuclease domain; if the aptamer binds the polymerase domain, using full-length P19821 is reasonable. The aptamer from PMID:9300057 likely targets the polymerase active site."
"Tubulin purified, Calf brain",2,P81947,"Tubulin alpha-1B chain",451,"Bos taurus",yes,low,"Tubulin is a heterodimer of α and β chains. PMID:11677128 used purified calf brain tubulin (mixed α/β preparation). P81947 (α-tubulin 1B, 451aa, bovine) is reviewed. However, β-tubulin (Q9TTN1 or P68371 bovine, 444aa) is equally likely to be the aptamer binding target. Cannot assign one chain without knowing which the aptamer contacts.",no,"LOW confidence — heterodimer target, cannot determine α vs β chain from available metadata. DESIGN QUESTION: which chain does the aptamer bind? Read PMID:11677128."
"Recombinant HA1 proteins of the H5N1 influenza virus",2,UNRESOLVED,"Influenza A H5N1 HA1 domain (strain unspecified)",~320,"Influenza A virus H5N1",yes,unresolved,"Multiple reviewed H5N1 HA entries exist but strain depends on PMID:18078808. The HA1 domain is the N-terminal portion of HA (approx aa 1-320 of the full HA). Cannot safely assign without strain identification.",no,"Requires PMID:18078808 full text. H5N1 HA1 domain is a fragment — policy decision applies if using full HA."
"Raf-like Ras-binding domain",2,P04049_policy,"RAF proto-oncogene serine/threonine-protein kinase (CRAF/Raf-1)",648,"Homo sapiens",yes,low,"PMID:9883908: 'RNA aptamers that bind to the Ras-binding domain (RBD) of Raf-1' (Yokoyama lab, Japan — likely used rat Raf-1). The RBD is approximately aa 51-131 of Raf-1. P04049 is human CRAF (648aa). If rat Raf-1 was used, accession is P11802 (rat, 648aa, also reviewed). This is also a domain aptamer, so full-length use is a policy decision. Additionally, the aptamer is an RNA aptamer (not DNA) — check training data label validity.",no,"LOW confidence: (1) species uncertain (human vs rat), (2) domain target (full-length policy), (3) RNA aptamer vs DNA dataset. Note PMID:9883908 specifies RNA aptamer — if dataset only includes DNA aptamers, this row may be incorrectly included."
"RNA-dependent RNA polymerase (RdRp) (NS5B) of HCV subtype 3a",2,UNRESOLVED,"HCV genotype 3a genome polyprotein (no reviewed 3a entry)",~3000,"Hepatitis C virus genotype 3a",no,unresolved,"PMID:16940097: 'High-affinity aptamers to subtype 3a hepatitis C virus polymerase display genotypic specificity.' Paper explicitly uses HCV subtype 3a NS5B. No reviewed UniProt entry for HCV genotype 3a polyprotein exists. Closest reviewed entries are genotype 1a (P27958) and 1b (Q9WMX2 / P26663). The paper notes 'genotypic specificity' — substituting a 1a/1b NS5B for a 3a-specific aptamer would introduce incorrect binding information.",yes,"Requires TrEMBL search for HCV genotype 3a polyprotein, or use of the deposited NS5B 3a sequence from PMID:16940097. DO NOT substitute genotype 1 polyprotein — the aptamer is genotype-specific per the paper title."
"RNA binding motif protein, Y-linked, family 1, member A1",2,P0DJD3,"RNA-binding motif protein, Y chromosome, family 1 member A1 (RBMY1A1)",496,"Homo sapiens",yes,high,"P0DJD3 is the reviewed UniProt entry for RBMY1A1. Exact match to the target name. PMID:17318228 confirmed.",yes,"HIGH confidence — reviewed, exact name match."
"Virus coat protein of two apple stem pitting virus (ASPV) isolates: MT32 and PSA-H",2,UNRESOLVED,"Apple stem pitting virus coat protein (two isolates: MT32 and PSA-H)",~600,"Apple stem pitting virus",no,unresolved,"ASPV coat protein for two specific isolates (MT32 and PSA-H) from PMID:20624933. These are plant virus isolates. No reviewed UniProt entry found. TrEMBL entries may exist for specific ASPV isolates. The two isolates may have different sequences — a single accession cannot represent both.",no,"Requires TrEMBL search for ASPV coat protein, or access to PMID:20624933 to identify the deposited sequences."
"Pepocin",2,P10297,"Antiviral protein I (PAP-I, pokeweed antiviral protein)",313,"Phytolacca americana",yes,medium,"PMID:9586110: 'In vitro selection of aptamers that bind to ribosome-inactivating toxins' — pepocin listed alongside ricin as a type 1 RIP. Pepocin is a pokeweed antiviral protein (PAP) from Phytolacca americana. P10297 (PAP-I, 313aa, reviewed) is the most abundant and well-characterized PAP isoform. Multiple PAP isoforms exist (I, II, III, S) with slightly different sequences. Specific isoform not confirmed from abstract.",no,"MEDIUM confidence: correct species and protein family, but specific isoform (I vs II/III vs alpha) unknown. Read PMID:9586110 full text if possible."
"Norovirus P particles (GG2.4P), Human",2,P54634_policy,"Genome polyprotein (VP1 capsid within, Lordsdale virus GII/Norovirus GII.4)",1699,"Lordsdale virus (Norovirus GII)",yes,low,"P54634 is the reviewed genome polyprotein for Lordsdale virus (Norovirus GII). 'GG2.4P' refers to GII.4 genotype P-domain particles (self-assembled VP1 P-domain). VP1 is encoded within the polyprotein. PMID:30368291 abstract: whole-virus SELEX against norovirus. P particles are recombinant VP1 P-domain assemblies — no standalone reviewed entry for GII.4 VP1.",no,"LOW confidence: (1) full polyprotein vs VP1 domain policy, (2) Lordsdale/GII may not be GII.4 specifically. PMID:30368291 full text needed to identify the GII.4 strain/sequence used."
"dsRBD 2 of xlADAR1",2,Q32NG0,"Adenosine deaminase domain-containing protein 1 (partial)",586,"Xenopus laevis",yes,medium,"Q32NG0 (Xenopus laevis, 586aa, reviewed) is the best available candidate for xlADAR1. Full-length ADAR1 in other species is ~1200aa — the 586aa entry may be truncated or an isoform. PMID:17000903: 'RNA aptamers binding the double-stranded RNA-binding domain' — aptamers target dsRBD2 specifically, not full-length ADAR1. Using Q32NG0 as a proxy for the domain is imprecise.",no,"MEDIUM: Q32NG0 is shorter than expected for full ADAR1 (~586 vs ~1200aa). Verify whether Q32NG0 covers the dsRBD2 region (typically C-terminal). If Q32NG0 is a fragment entry, ESM-2 may still encode useful binding-region features."
"HepatitisCVirusPolymerase",2,Q9WMX2,"Genome polyprotein (NS5B within aa 2420-3011)",3010,"Hepatitis C virus genotype 1b (isolate Con1)",yes,medium,"Garbled name for HCV polymerase (NS5B RNA-dependent RNA polymerase). P27958 (genotype 1a H77) or Q9WMX2 (genotype 1b Con1) are the most common. PMID:12667800 references HCV NS5B. Genotype 1b is most common in HCV NS5B aptamer literature.",no,"Garbled name needs override table entry. Genotype assignment requires PMID:12667800 verification. See also 'RNA-dependent RNA polymerase (RdRp) NS5B of HCV subtype 3a' — different rows may target different HCV genotypes."
"Murine CD200R1",2,Q9ES57,"Cell surface glycoprotein CD200 receptor 1",326,"Mus musculus",yes,high,"Q9ES57 is the reviewed UniProt entry for mouse CD200R1. PMID:25158092 confirmed. The target name specifies 'Murine' = mouse, and Q9ES57 is Mus musculus.",yes,"HIGH confidence — reviewed, exact species, correct protein."
"human Tcell lukemia Tax",2,P14079,"Protein Tax-1",353,"Human T-cell leukemia virus 1",yes,high,"P14079 is the reviewed entry for HTLV-1 Tax (Tax-1). Garbled name ('Tcell lukemia' = 'T-cell leukemia'). PMID:7489503 confirmed. Same protein as the HTLV-1 Tax target already confirmed earlier. The garbled name means the existing override table entry for 'human T-cell leukemia Tax' may not fire — add this garbled variant to overrides.",yes,"HIGH confidence — add to protein_name_overrides.csv with this exact garbled target_name spelling."
"MBP-fused drosophila HSF",2,DESIGN_QUESTION,"Drosophila melanogaster Heat shock factor (HSF) — MBP fusion not in UniProt",varies,"Drosophila melanogaster",N/A,design_question,"Target is a chimeric fusion protein (MBP = maltose-binding protein + Drosophila HSF). The MBP tag is a purification handle; the aptamer likely binds HSF. Drosophila HSF is P22813 (Heat shock factor protein 1, 691aa, reviewed). However, using HSF sequence for a chimeric construct SELEX requires human decision: which part of the fusion does the aptamer contact?",no,"DESIGN QUESTION: if aptamer binds the HSF domain, P22813 (Drosophila HSF1) is appropriate. If aptamer contacts the MBP-HSF interface or the MBP portion, no single accession is correct."
"H9N2 avian influenza virus (AIV) purified haemagglutinin (HA)",2,UNRESOLVED,"Influenza A H9N2 hemagglutinin (strain unspecified)",~550,"Influenza A virus H9N2",yes,unresolved,"H9N2 HA reviewed entries exist in UniProt but strain selection depends on PMID:25826217. H9N2 is diverse; HA sequences vary significantly across lineages.",no,"Requires PMID:25826217 to identify the H9N2 strain used."
"dsRBD 2 of Xlrbpa",1,UNRESOLVED,"Xenopus laevis RNA-binding protein (Xlrbpa = dsRBD-containing protein)",varies,"Xenopus laevis",no,unresolved,"PMID:17000903 (same paper as xlADAR1). 'Xlrbpa' is Xenopus laevis RNA-binding protein A, a dsRBD-containing protein. No UniProt entry found under this name. May be an unreviewed TrEMBL entry or may correspond to the Xenopus TRBP (transactivation response RNA-binding protein).",yes,"Requires specialized search for Xlrbpa in Xenopus laevis TrEMBL entries, or access to PMID:17000903 to identify the gene product."
"Endothelial regulatory protein pigpen (YPEN-1)",1,Q6AXS3,"Protein DEK",378,"Rattus norvegicus",yes,low,"PMID:11279054: 'Aptamer binding to rat brain tumor microvessels — selective targeting of endothelial regulatory protein pigpen.' Pigpen was identified as an endothelial nuclear RNA-binding protein in the 2001 paper. Based on literature, 'pigpen' is informally associated with the DEK protein (a chromatin/nuclear factor). Q6AXS3 (rat DEK, 378aa, reviewed) is the candidate. However, the protein identity was not definitively published at the time of the aptamer study, and 'pigpen' may refer to a different protein.",no,"LOW confidence — pigpen's molecular identity is uncertain. DEK is the best available candidate from the literature context, but the aptamer paper predates the molecular characterization. Read PMID:11279054 full text for any sequence or gel data that identifies the molecular weight."
"D-staphylococcal enterotoxin B peptide (respective SEB peptides)",1,DESIGN_QUESTION,"Staphylococcal enterotoxin B (full-length SEB = P01553)",239,"Staphylococcus aureus",yes,design_question,"'D-staphylococcal' means D-amino acid form — a synthetic construct with all amino acids inverted. The sequence is the mirror image of P01553 (SEB, reviewed, 239aa). ESM-2 was trained on L-amino acid sequences and cannot meaningfully represent D-amino acid proteins. DESIGN QUESTION: should D-amino acid targets be blanked, or tagged for special handling?",yes,"DESIGN QUESTION: D-amino acid sequences are not representable by ESM-2. Recommend blanking and flagging for a separate D-protein handling strategy. The aptamer that binds D-SEB almost certainly has different binding geometry than one binding L-SEB."
"Epididymis 4, Human",1,Q14508,"WAP four-disulfide core domain protein 2 (WFDC2/HE4)",124,"Homo sapiens",yes,high,"Q14508 is the reviewed UniProt entry for WFDC2 (WAP four-disulfide core domain protein 2), known commercially as HE4 (human epididymis protein 4). The target name 'Epididymis 4' is a common synonym for HE4/WFDC2. PMID:25863801 confirmed.",yes,"HIGH confidence — reviewed, synonym confirmed."
"Escherichia coli (E. coli) O157:H7",1,NOT_A_PROTEIN,"Whole-cell SELEX target — no single protein",N/A,"Escherichia coli O157:H7",N/A,reclassify,"PMID:28818557: 'DNA aptamer identification for E. coli O157 detection using cell based SELEX method.' This is whole-organism SELEX. The aptamer binds an unidentified surface molecule of E. coli O157:H7. No single protein target can be safely assigned. Target should be reclassified to target_type='organism'.",yes,"ACTION REQUIRED: reclassify target_type from 'protein' to 'organism'. This was missed in the original reclassification pass."
"D-staphylococcal enterotoxin B peptide (full-length SEB protein)",1,DESIGN_QUESTION,"Staphylococcal enterotoxin B (full-length SEB = P01553)",239,"Staphylococcus aureus",yes,design_question,"Same as 'respective SEB peptides' row above — D-amino acid form, same PMID. Same reasoning applies.",yes,"DESIGN QUESTION: D-amino acid form. See reasoning for the other D-SEB row above."
"quinoprotein glucose dehydrogenase PQQGDH",1,P15877,"Quinoprotein glucose dehydrogenase",796,"Escherichia coli K12",yes,medium,"PMID:18029757: 'Selection of DNA aptamers that inhibit enzymatic activity of PQQGDH.' P15877 (796aa, E. coli K12, reviewed) is the most commonly used PQQGDH in biosensor research. Acinetobacter PQQGDH (P05465, 801aa) is also used in biosensors. Paper is from Tokyo University of Agriculture — Japanese biosensor groups use E. coli PQQGDH most frequently. Note: the override table already has 'quinoprotein glucose dehydrogenase PQQGDH' with the exception entry in .gitignore — but this is a protein target that needs a sequence.",no,"MEDIUM: E. coli PQQGDH is the first-choice; verify PMID:18029757 full text for organism. If Acinetobacter, use P05465 instead."
"Klebsiella Pneumoniae Carbapenemase 2 (KPC-2) specifically on KPC-2 Escherichia coli (E. coli)",1,Q9F663,"Carbapenem-hydrolyzing beta-lactamase KPC-2",293,"Klebsiella pneumoniae",yes,high,"Q9F663 is the reviewed UniProt entry for KPC-2. Exact protein name and organism match. PMID:33379005 confirmed. 293aa is consistent with class A beta-lactamases. Target name specifies 'KPC-2 on KPC-2 E. coli' — meaning KPC-2 expressed in E. coli as a detection target; the protein sequence is from K. pneumoniae regardless of the expression host.",yes,"HIGH confidence — reviewed, exact match."
"SipA effector protein secreted by type three secretory system (T3SS)",1,P0CL52,"Cell invasion protein SipA",685,"Salmonella typhimurium (strain LT2)",yes,high,"P0CL52 (reviewed, 685aa) is Cell invasion protein SipA from Salmonella typhimurium LT2. PMID:31953175 confirmed (SipA effector). LT2 is the canonical lab strain for Salmonella typhimurium — high plausibility for strain match.",yes,"HIGH confidence — reviewed, correct protein function match."
